PLANT_ID,TIME_ID,TIME,SPECIES,TREATMENT,NUM_EGGS_PRESENT,PROP_SURV,HOURS_POST_DEPLOY
18,10,6,INC,OPEN,2,1,18
19,10,6,INC,CLOSED,2,1,18
19,10,6,INC,OPEN,0,0,18
20,10,6,INC,CLOSED,2,1,18
20,10,6,INC,OPEN,2,1,18
21,10,6,INC,CLOSED,2,1,18
21,10,6,INC,OPEN,1,0.5,18
22,10,6,INC,CLOSED,2,1,18
22,10,6,INC,OPEN,1,0.5,18
23,10,6,INC,CLOSED,2,1,18
23,10,6,INC,OPEN,1,0.5,18
24,10,6,INC,CLOSED,2,1,18
24,10,6,INC,OPEN,1,0.5,18
25,10,6,INC,CLOSED,2,1,18
25,10,6,INC,OPEN,0,0,18
26,10,6,INC,CLOSED,2,1,18
26,10,6,INC,OPEN,1,0.5,18
27,10,6,INC,CLOSED,2,1,18
27,10,6,INC,OPEN,1,0.5,18
28,10,6,INC,CLOSED,2,1,18
28,10,6,INC,OPEN,2,1,18
29,10,6,INC,CLOSED,2,1,18
29,10,6,INC,OPEN,1,0.5,18
30,10,6,INC,CLOSED,2,1,18
30,10,6,INC,OPEN,0,0,18
1,11,8,SYR,CLOSED,2,1,20
1,11,8,SYR,OPEN,2,1,20
2,11,8,SYR,CLOSED,2,1,20
2,11,8,SYR,OPEN,0,0,20
3,11,8,SYR,CLOSED,2,1,20
3,11,8,SYR,OPEN,0,0,20
4,11,8,SYR,CLOSED,2,1,20
4,11,8,SYR,OPEN,0,0,20
5,11,8,SYR,CLOSED,2,1,20
5,11,8,SYR,OPEN,0,0,20
6,11,8,SYR,CLOSED,2,1,20
6,11,8,SYR,OPEN,0,0,20
7,11,8,SYR,CLOSED,2,1,20
7,11,8,SYR,OPEN,0,0,20
8,11,8,SYR,CLOSED,2,1,20
8,11,8,SYR,OPEN,0,0,20
9,11,8,SYR,CLOSED,2,1,20
9,11,8,SYR,OPEN,2,1,20
10,11,8,SYR,CLOSED,2,1,20
10,11,8,SYR,OPEN,1,0.5,20
11,11,8,SYR,CLOSED,2,1,20
11,11,8,SYR,OPEN,0,0,20
12,11,8,SYR,CLOSED,2,1,20
12,11,8,SYR,OPEN,0,0,20
13,11,8,SYR,CLOSED,2,1,20
13,11,8,SYR,OPEN,0,0,20
14,11,8,SYR,CLOSED,2,1,20
14,11,8,SYR,OPEN,0,0,20
15,11,8,SYR,CLOSED,2,1,20
15,11,8,SYR,OPEN,0,0,20
16,11,8,INC,CLOSED,2,1,20
16,11,8,INC,OPEN,1,0.5,20
17,11,8,INC,CLOSED,2,1,20
17,11,8,INC,OPEN,0,0,20
18,11,8,INC,CLOSED,2,1,20
18,11,8,INC,OPEN,2,1,20
19,11,8,INC,CLOSED,2,1,20
19,11,8,INC,OPEN,0,0,20
20,11,8,INC,CLOSED,2,1,20
20,11,8,INC,OPEN,2,1,20
21,11,8,INC,CLOSED,2,1,20
