WEEK,LOCATION,SPECIES,MON_EGG_TOT,MON_LARV_TOT,MYZ_ASC,APH_NER,APH_ASC,APH_TOT,FOR_SUB,FOR_PAL,FOR_TOT,LAS_NEO,LAS_TOT,TET_IMM,CRE_CER,ANT_TOT,LB_TOT,PARA,LWING
6,AB,INCARNATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,AB,INCARNATA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,AB,INCARNATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
6,AB,SYRIACA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,AB,SYRIACA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,AB,SYRIACA,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0
6,AB,SYRIACA,0,0,8,0,0,8,0,0,0,2,2,0,0,2,0,0,0
6,AB,SYRIACA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,AB,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,AB,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,AB,TUBEROSA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,AB,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,AB,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,SH,INCARNATA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,SH,INCARNATA,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,SH,INCARNATA,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,SH,INCARNATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,SH,INCARNATA,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
7,SH,SYRIACA,0,0,45,0,0,45,0,1,1,1,1,0,0,2,1,0,0
7,SH,SYRIACA,2,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0
7,SH,SYRIACA,0,0,9,7,0,16,0,0,0,0,0,0,0,0,0,0,0
7,SH,SYRIACA,3,0,17,0,0,17,0,0,0,2,2,0,0,2,0,0,0
7,SH,SYRIACA,1,0,83,0,0,83,0,0,0,5,5,0,0,5,0,0,0
7,SH,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,SH,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,SH,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,SH,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,SH,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
